NGC4755_1,Arp_1,RAJ2000,DEJ2000,pmRA,pmDE,recno_1,NGC4755_2,Arp_2,x,y,Vmag,B-V,recno_2
89,218,12 54 09.055,-60 22 09.94,0.79,-1.71,74,89,218,981.007,1598.894,12.298,0.245,89
92,101,12 53 40.773,-60 21 39.75,0.75,-16.16,75,92,101,1052.095,1062.956,12.336,0.248,92
93,136,12 53 25.367,-60 20 21.00,0.4,0.37,76,93,136,1252.857,769.39,12.342,0.241,93
94,129,12 52 56.773,-60 19 21.50,-4.36,1.4,77,94,129,1399.31,226.079,12.348,0.102,94
95,419,12 53 37.203,-60 23 41.25,-0.44,0.68,78,95,419,743.684,997.838,12.356,0.236,95
96,211,12 53 51.391,-60 21 17.25,11.11,7.44,79,96,211,1114.059,1264.703,12.363,0.237,96
98,123,12 52 55.453,-60 21 50.50,3.72,-1.06,80,98,123,1018.856,205.43,12.38,1.306,98
100,336,12 54 14.562,-60 26 54.19,1.25,-3.41,81,100,336,256.763,1707.19,12.41,0.25,100
102,216,12 53 48.719,-60 20 39.25,1.06,-1.02,82,102,216,1209.669,1212.252,12.445,0.234,102
103,116,12 53 36.148,-60 20 32.19,1.88,-0.64,83,103,116,1226.078,973.811,12.462,0.228,103
104,120,12 53 18.422,-60 22 07.62,-1.58,-0.18,84,104,120,979.428,640.291,12.475,0.277,104
105,111,12 53 25.883,-60 22 14.50,1.91,1.16,85,105,111,963.163,781.957,12.543,0.237,105
106,104,12 53 41.352,-60 21 13.75,4.84,4.55,86,106,104,1120.99,1071.647,12.547,1.324,106
108,0,12 53 51.086,-60 19 15.44,11.08,-4.31,87,108,0,1423.642,1256.445,12.567,0.322,108
110,436,12 53 38.180,-60 26 10.62,0.95,0.14,88,110,436,362.604,1019.493,12.602,0.228,110
111,137,12 53 37.523,-60 19 26.56,2.72,-0.83,89,111,137,1393.714,998.594,12.61,0.277,111
112,108,12 53 35.633,-60 21 47.81,-1.94,-6.07,90,112,108,1032.04,965.396,12.622,0.242,112
113,110,12 53 31.359,-60 22 18.44,-2.42,1.49,91,113,110,954.045,885.153,12.624,0.238,113
114,118,12 53 19.578,-60 21 30.69,0.09,0.36,92,114,118,1073.876,661.383,12.626,0.262,114
115,425,12 53 17.273,-60 22 51.75,-0.51,-0.11,93,115,425,866.906,619.673,12.639,0.293,115
116,13,12 53 18.211,-60 18 50.00,-0.37,3.58,94,116,13,1485.205,631.497,12.655,0.313,116
